SA5974AA,0,retail,105,0,Entregado,2020-10-16 23:46:04
SA6644DS,0,retail,30,1,Entregado,2020-10-16 23:46:24
SA5648AA,0,retail,80,0,Entregado,2020-10-16 23:45:44
SA1937JH,0,retail,6,0,Entregado,2020-10-16 23:45:54
SA3698HJ,0,retail,25,0,Entregado,2020-10-16 23:45:24
SA2563AS,0,retail,15,0,Entregado,2020-10-16 23:45:34
SA1589GD,0,retail,100,0,Entregado,2020-10-16 23:45:04
SA8859SS,0,retail,15,0,Entregado,2020-10-16 23:45:14
SA5698PO,0,retail,110,0,Entregado,2020-10-16 23:44:44
SA5897AS,0,retail,95,0,Entregado,2020-10-16 23:44:54
