SA5698PO,retail,110,tienda-C,casa-C,1,2020-10-17 15:50:33
SA5897AS,retail,95,tienda-A,casa-D,1,2020-10-17 15:50:34
SA5713AS,retail,20,tienda-B,casa-C,2,2020-10-17 15:50:37
SA2589TR,retail,5,tienda-C,casa-P,2,2020-10-17 15:50:38
SA3698HJ,retail,25,tienda-C,casa-A,1,2020-10-17 15:50:39
SA2563AS,retail,15,tienda-A,casa-N,1,2020-10-17 15:50:40
SA5648AA,retail,80,tienda-B,casa-A,2,2020-10-17 15:50:43
SA1937JH,retail,6,tienda-C,casa-N,1,2020-10-17 15:50:42
SA5974AA,retail,105,tienda-C,casa-C,1,2020-10-17 15:50:44
SA6644DS,retail,30,tienda-A,casa-A,1,2020-10-17 15:50:45
