2020-10-17 16:43:57,BE127,prioritario,Secador de pelo,15,pyme,casa-K,1
2020-10-17 16:43:57,BE666,prioritario,Jabón para la ducha,8,pyme,casa-A,2
2020-10-17 16:43:57,BE855,normal,Acondicionador,10,pyme,casa-A,3
2020-10-17 16:43:57,BE654,normal,Shampoo,10,pyme,casa-D,4
2020-10-17 16:43:57,BE785,prioritario,Crema para peinar,8,pyme,casa-E,5
2020-10-17 16:43:57,PF654,prioritario,Placa madre,50,pyme,casa-B,6
2020-10-17 16:43:57,PF125,normal,Procesador R,75,pyme,casa-N,7
2020-10-17 16:43:57,PF111,prioritario,Ventilador,10,pyme,casa-N,8
2020-10-17 16:43:57,PF245,normal,Gabinete,20,pyme,casa-S,9
2020-10-17 16:43:57,PF225,prioritario,Fuente de poder,25,pyme,casa-P,10
2020-10-17 16:43:57,PF354,normal,Memoria RAM,22,pyme,casa-R,11
2020-10-17 16:43:57,PF542,normal,Procesador I,90,pyme,casa-N,12
2020-10-17 16:43:57,PF452,prioritario,Tarjeta de video,115,pyme,casa-I,13
2020-10-17 16:43:57,OF352,prioritario,Set de plumones,9,pyme,casa-C,14
2020-10-17 16:43:57,OF754,normal,Cuadernos,5,pyme,casa-C,15
2020-10-17 16:43:57,OF554,normal,Lapices,4,pyme,casa-I,16
2020-10-17 16:43:57,DE123,normal,Zapatillas de futbol,16,pyme,casa-E,17
2020-10-17 16:43:57,DE654,prioritario,Pelota de futbol,11,pyme,casa-V,18
2020-10-17 16:43:57,DE786,prioritario,Raqueta de tenis,15,pyme,casa-Z,19
2020-10-17 16:43:57,DE245,prioritario,Palo de golf,18,pyme,casa-Y,20
2020-10-17 16:43:57,CC122,normal,Polera,9,pyme,casa-F,21
2020-10-17 16:43:57,CC147,prioritario,Pantalón,11,pyme,casa-C,22
2020-10-17 16:43:57,CC124,normal,Abrigo,17,pyme,casa-U,23
2020-10-17 16:43:57,CC175,prioritario,Bufanda,6,pyme,casa-A,24
2020-10-17 16:43:57,CC121,normal,Chaqueta,16,pyme,casa-X,25
2020-10-17 16:43:57,CC147,prioritario,Sueter,14,pyme,casa-C,26
